,name,price,daily_percent,weekly_percent,market_cap,volume,circulating_supply
0,Bitcoin,"$36,115.24",2.46%,5.17%,"$676,213,249,886","$34,374,384,886","18,723,762 BTC"
1,Ethereum,"$2,555.73",3.25%,1.61%,"$296,754,333,757","$28,014,980,435","116,113,325 ETH"
2,Tether,$1.00,0.05%,0.16%,"$61,803,002,427","$83,332,900,517","61,783,335,674 USDT"
3,Cardano,$1.69,1.30%,9.12%,"$53,983,163,654","$3,966,049,903","31,948,309,441 ADA"
4,Binance Coin,$348.34,0.19%,4.17%,"$53,447,311,378","$3,470,278,074","153,432,897 BNB"
5,XRP,$0.999,1.82%,6.67%,"$46,098,858,708","$5,649,493,399","46,143,602,688 XRP"
6,Dogecoin,$0.3145,0.27%,8.24%,"$40,834,391,880","$3,005,433,883","129,840,700,871 DOGE"
7,USD Coin,$1.00,0.01%,0.01%,"$22,692,068,515","$2,068,091,296","22,684,928,748 USDC"
8,Polkadot,$22.16,1.78%,2.08%,"$20,910,877,145","$2,476,355,866","943,758,531 DOT"
9,Uniswap,$26.48,3.78%,9.64%,"$14,979,494,689","$771,049,900","565,714,822 UNI"
10,Internet Computer,$108.40,3.01%,21.22%,"$13,446,527,415","$156,445,221","124,048,742 ICP"
11,Chainlink,$29.71,3.38%,14.76%,"$12,760,666,353","$2,308,034,707","429,509,554 LINK"
12,Bitcoin Cash,$677.11,4.02%,3.19%,"$12,697,377,050","$2,628,060,684","18,752,294 BCH"
13,Litecoin,$178.21,3.19%,1.27%,"$11,896,032,405","$2,984,705,306","66,752,415 LTC"
14,Polygon,$1.82,0.88%,4.04%,"$11,421,545,308","$2,507,101,802","6,262,089,653 MATIC"
15,Stellar,$0.426,7.07%,0.89%,"$9,845,959,464","$1,452,925,122","23,113,746,337 XLM"
16,Binance USD,$1.00,0.01%,0.01%,"$8,722,859,920","$6,024,839,554","8,718,270,885 BUSD"
17,Solana,$30.97,4.72%,5.21%,"$8,444,882,518","$467,698,956","272,637,428 SOL"
18,Ethereum Classic,$66.51,2.38%,12.94%,"$7,735,756,995","$3,161,424,642","116,313,299 ETC"
19,VeChain,$0.1201,0.72%,7.16%,"$7,722,638,661","$1,020,382,848","64,315,576,989 VET"
20,THETA,$7.63,14.11%,19.28%,"$7,631,295,219","$490,215,636","1,000,000,000 THETA"
21,Wrapped Bitcoin,"$36,198.89",2.43%,4.99%,"$6,726,141,044","$111,926,127","185,811 WBTC"
22,EOS,$6.17,2.59%,13.13%,"$5,880,913,916","$2,442,984,390","953,873,955 EOS"
23,TRON,$0.07462,1.56%,0.63%,"$5,347,431,023","$1,431,822,550","71,659,657,369 TRX"
24,Filecoin,$68.78,3.76%,0.45%,"$5,186,580,582","$664,533,979","75,405,778 FIL"
25,Aave,$369.47,1.87%,3.05%,"$4,724,233,744","$648,474,539","12,786,413 AAVE"
26,Dai,$1.00,0.10%,0.07%,"$4,654,050,591","$378,741,641","4,649,703,164 DAI"
27,Monero,$255.98,2.10%,4.55%,"$4,587,745,372","$305,331,440","17,922,339 XMR"
28,Neo,$53.32,1.34%,2.59%,"$3,761,246,477","$625,064,888","70,538,831 NEO"
29,Maker,"$3,546.42",0.74%,5.96%,"$3,516,280,454","$197,769,634","991,501 MKR"
30,SHIBA INU,$0.000008564,6.96%,10.85%,"$3,381,026,189","$1,099,513,571","394,796,000,000,000 SHIB"
31,Klaytn,$1.37,1.51%,7.37%,"$3,376,152,661","$43,573,425","2,469,233,018 KLAY"
32,Bitcoin SV,$167.65,3.00%,5.94%,"$3,143,201,589","$807,098,595","18,748,464 BSV"
33,FTX Token,$33.06,1.16%,2.31%,"$3,119,559,860","$164,587,819","94,346,958 FTT"
34,Tezos,$3.55,0.58%,1.35%,"$3,116,611,777","$170,383,397","877,908,828 XTZ"
35,IOTA,$1.10,0.45%,3.01%,"$3,061,645,947","$74,066,622","2,779,530,283 MIOTA"
36,Kusama,$361.79,7.81%,14.99%,"$3,064,411,742","$338,788,118","8,470,098 KSM"
37,Crypto.com Coin,$0.1207,3.31%,1.44%,"$3,050,453,930","$64,961,237","25,263,013,692 CRO"
38,PancakeSwap,$17.42,1.97%,1.00%,"$2,871,812,515","$249,261,768","164,900,129 CAKE"
39,Cosmos,$13.50,2.11%,0.17%,"$2,845,340,444","$247,951,803","210,767,263 ATOM"
40,Algorand,$0.8954,1.62%,8.12%,"$2,735,037,429","$137,069,969","3,060,261,667 ALGO"
41,Huobi Token,$15.03,0.35%,5.10%,"$2,631,964,344","$364,449,037","175,074,232 HT"
42,Terra,$6.23,0.56%,3.02%,"$2,550,047,702","$284,275,561","409,555,944 LUNA"
43,THORChain,$11.57,4.95%,5.36%,"$2,468,659,260","$117,242,806","213,536,800 RUNE"
44,BitTorrent,$0.003726,0.73%,6.94%,"$2,454,433,443","$507,679,006","659,952,625,000 BTT"
45,UNUS SED LEO,$2.49,2.82%,3.51%,"$2,372,635,842","$3,224,671","953,954,130 LEO"
46,Avalanche,$17.48,1.99%,7.88%,"$2,276,432,796","$84,115,916","130,210,218 AVAX"
47,Compound,$420.49,2.22%,4.21%,"$2,194,458,457","$187,907,517","5,224,364 COMP"
48,Decred,$165.15,3.03%,30.92%,"$2,143,992,930","$60,386,569","12,982,353 DCR"
49,Bitcoin BEP2,"$36,418.11",1.93%,3.88%,"$1,988,357,042","$87,135,583","54,598 BTCB"
50,TerraUSD,$0.9983,0.08%,0.96%,"$1,944,966,643","$25,858,595","1,948,198,134 UST"
51,Hedera Hashgraph,$0.2241,1.05%,9.23%,"$1,922,222,337","$209,188,930","8,577,697,294 HBAR"
52,Dash,$185.97,2.85%,2.98%,"$1,889,784,186","$521,897,538","10,161,891 DASH"
53,Theta Fuel,$0.3482,8.33%,30.89%,"$1,846,132,262","$50,705,052","5,301,214,400 TFUEL"
54,Zcash,$152.90,2.44%,5.51%,"$1,819,034,629","$470,447,028","11,896,706 ZEC"
55,Elrond,$100.94,1.19%,3.68%,"$1,771,392,141","$57,213,579","17,548,214 EGLD"
56,Celsius,$7.08,2.79%,4.58%,"$1,691,119,189","$30,283,757","238,863,520 CEL"
57,NEM,$0.1846,2.64%,0.58%,"$1,661,658,379","$98,075,513","8,999,999,999 XEM"
58,yearn.finance,"$44,619.87",3.10%,4.81%,"$1,634,650,288","$399,671,768","36,635 YFI"
59,Telcoin,$0.03128,4.52%,7.91%,"$1,622,878,998","$52,184,441","51,884,110,195 TEL"
60,Chiliz,$0.2715,2.45%,8.74%,"$1,574,496,438","$162,327,003","5,799,955,194 CHZ"
61,Holo,$0.008659,2.89%,5.10%,"$1,495,184,380","$146,697,029","172,673,864,848 HOT"
62,SushiSwap,$11.49,5.32%,3.88%,"$1,462,162,744","$409,797,559","127,244,443 SUSHI"
63,Synthetix,$12.40,4.81%,4.27%,"$1,424,201,521","$75,230,043","114,841,533 SNX"
64,Waves,$12.97,2.79%,12.10%,"$1,365,423,159","$132,779,116","105,256,360 WAVES"
65,Zilliqa,$0.117,4.26%,10.72%,"$1,326,055,979","$108,690,407","11,335,165,250 ZIL"
66,Helium,$15.56,3.23%,6.59%,"$1,319,655,290","$17,636,981","84,822,936 HNT"
67,Enjin Coin,$1.57,2.24%,31.38%,"$1,308,619,671","$193,308,652","834,331,121 ENJ"
68,Decentraland,$0.8143,1.51%,5.14%,"$1,286,965,444","$101,325,398","1,580,469,321 MANA"
69,Paxos Standard,$1.00,0.00%,0.05%,"$1,243,041,176","$62,505,570","1,242,783,472 PAX"
70,NEAR Protocol,$3.07,6.09%,1.30%,"$1,200,889,887","$96,654,795","391,298,846 NEAR"
71,Horizen,$105.65,1.20%,9.86%,"$1,177,333,038","$83,867,879","11,144,225 ZEN"
72,Qtum,$11.60,1.44%,2.74%,"$1,141,514,694","$440,195,790","98,413,485 QTUM"
73,TrueUSD,$1.00,0.01%,0.03%,"$1,125,557,781","$120,713,570","1,125,523,285 TUSD"
74,Mdex,$2.53,15.05%,31.15%,"$1,099,731,164","$171,142,687","436,460,724 MDX"
75,Stacks,$0.957,2.96%,1.37%,"$1,100,189,728","$11,620,597","1,149,670,454 STX"
76,Basic Attention Token,$0.7336,2.05%,2.82%,"$1,097,404,673","$215,403,885","1,496,014,870 BAT"
77,Nexo,$1.87,3.38%,0.13%,"$1,049,942,317","$12,382,021","560,000,011 NEXO"
78,Revain,$0.01215,0.61%,17.91%,"$1,033,141,397","$3,759,566","85,061,485,690 REV"
79,Bitcoin Gold,$58.50,0.70%,7.71%,"$1,024,485,837","$32,946,205","17,513,924 BTG"
80,Harmony,$0.09866,1.61%,3.56%,"$1,004,798,905","$96,692,937","10,183,980,574 ONE"
81,DigiByte,$0.068,5.94%,0.24%,"$976,531,508","$54,949,503","14,361,146,078 DGB"
82,Nano,$7.22,0.38%,1.47%,"$962,168,558","$58,192,034","133,248,297 NANO"
83,The Graph,$0.759,7.24%,4.21%,"$945,471,692","$140,895,827","1,245,666,867 GRT"
84,Ontology,$1.09,0.87%,0.91%,"$943,895,692","$217,966,125","862,599,654 ONT"
85,Bancor,$4.55,1.76%,2.28%,"$922,791,303","$75,691,011","202,769,025 BNT"
86,OMG Network,$6.31,2.25%,4.15%,"$884,536,107","$338,596,976","140,245,398 OMG"
87,0x,$1.02,0.16%,6.99%,"$855,065,655","$94,553,715","841,921,228 ZRX"
88,Celo,$3.41,1.85%,13.17%,"$838,293,274","$19,643,294","245,729,966 CELO"
89,HUSD,$1.00,0.01%,0.10%,"$836,336,904","$1,182,065,385","835,857,398 HUSD"
90,SwissBorg,$0.8273,4.12%,7.68%,"$827,251,476","$4,048,844","1,000,000,000 CHSB"
91,Siacoin,$0.01693,3.38%,1.31%,"$810,542,876","$49,060,851","47,868,712,992 SC"
92,UMA,$13.24,3.40%,4.25%,"$804,570,406","$22,297,483","60,767,634 UMA"
93,OKB,$13.14,1.94%,6.08%,"$788,573,719","$536,016,614","60,000,000 OKB"
94,Fantom,$0.3088,1.24%,0.05%,"$785,916,772","$52,799,601","2,545,006,273 FTM"
95,BakeryToken,$4.04,1.08%,22.78%,"$761,480,910","$133,182,951","188,717,930 BAKE"
96,Ankr,$0.1045,1.34%,0.68%,"$731,102,516","$37,236,092","6,996,232,711 ANKR"
97,Ravencoin,$0.08149,0.07%,0.91%,"$725,010,540","$45,933,643","8,897,280,000 RVN"
98,XinFin Network,$0.05747,1.76%,8.24%,"$705,159,876","$4,637,867","12,270,099,469 XDC"
99,ICON,$1.10,0.46%,2.68%,"$694,964,183","$45,964,698","629,005,925 ICX"
